filename,path,true_emotion,deepface_prediction,status,happy_score,sad_score,angry_score,surprise_score,neutral_score,disgust_score,fear_score
000152.jpg,images/happy/000152.jpg,happy,happy,success,99.83483554901653,0.00033787278490702953,2.531072578446815e-05,5.6733766826975365e-05,0.16436129013239859,4.912860643286448e-06,0.0003695285627738051
000191.jpg,images/happy/000191.jpg,happy,happy,success,99.99049902075541,0.0059752557870627,3.6088482063854892e-09,5.555066144335224e-06,0.0035198615829765026,9.770058179211792e-16,1.2964314707006106e-09
000218.jpg,images/happy/000218.jpg,happy,happy,success,99.99911785136248,7.953669131510972e-14,9.1372033783772e-15,1.700233493372248e-05,0.0008634263275134657,6.643760606832025e-23,4.936016910075749e-16
happy_250extra_0039.jpg,images/happy/happy_250extra_0039.jpg,happy,happy,success,99.90094303494352,1.0347315621569738e-06,1.7100275340813421e-09,5.543504319599071e-08,0.09905479973136185,2.462388960128883e-12,5.070982825035394e-08
happy_250extra_0005.jpg,images/happy/happy_250extra_0005.jpg,happy,fear,success,13.417422081078415,0.026126291879529768,0.8576438342120548,0.05648981650858024,2.6127212174535978e-06,1.0354020480859696e-07,85.64231906189436
000032.jpg,images/happy/000032.jpg,happy,happy,success,99.95879530906677,2.5906840561695788e-08,7.712006624667825e-12,1.6457843421413543e-08,0.04120450175832957,4.9733074338188654e-18,6.95446787519192e-13
happy_250extra_0011.jpg,images/happy/happy_250extra_0011.jpg,happy,happy,success,99.67296717601819,2.2610064041299138e-10,9.873441461661703e-15,1.075485684803532e-09,0.3270337553044412,3.397456567234821e-21,7.50306627047172e-16
happy_250extra_0010.jpg,images/happy/happy_250extra_0010.jpg,happy,happy,success,99.98182654380798,2.4987716784607983e-06,2.3629867507146685e-08,3.861863007159627e-06,0.01817241864046082,1.4899472172529016e-12,1.3743799054020088e-12
happy_250extra_0004.jpg,images/happy/happy_250extra_0004.jpg,happy,fear,success,2.101479284465313,2.2695347823287193e-07,0.003977623418904841,33.57371985912323,3.484478875091622e-14,6.99260527953216e-11,64.32082653045654
happy_250extra_0038.jpg,images/happy/happy_250extra_0038.jpg,happy,happy,success,100.0,4.889498181337437e-09,7.123840900962245e-14,2.4412842145606582e-14,1.0929831262274092e-06,1.9443646376661194e-22,3.1326631826783524e-10
